"","sI","tI","zetaI","av_accuracy","av_search","av_accuracy_s0","av_accuracy_s1"
"1",3.94715387554275,"1",0.969374259714074,0.6,0.291225835015312,0.930497212247957,0.856056687856698
"2",3.13834420066129,"1",0.952799738642104,0.625,0.281075756080161,0.932364553919051,0.856035673387194
"3",2.59524236883453,"1",0.933124989949593,0.65,0.269536566862623,0.934732969247115,0.856060845906903
"4",2.20379754343486,"1",0.910634982367868,0.675,0.256488011062106,0.937526836205883,0.856109456378568
"5",1.90693940178649,"1",0.885616310262256,0.7,0.24181454552272,0.940667499295131,0.856154517222058
"6",1.6729118528206,"1",0.858339954547098,0.725,0.225416982377078,0.944077529234824,0.856163643878202
"7",1.4826022185056,"1",0.829044785230217,0.75,0.208390579536467,0.947928728181903,0.856242840211056
"8",1.32377562678085,"1",0.797921253701214,0.775,0.189530705477693,0.951912979708964,0.85622347963665
"9",1.18818294989389,"1",0.765093630471535,0.8,0.169998952841338,0.956219473358729,0.856225053048144
"10",1.06998872076887,"1",0.730597393817336,0.825,0.150930455140804,0.961037054511746,0.856423811989
"11",0.964847341022481,"1",0.694344972512,0.85,0.130146647437725,0.965862579025049,0.856450604953404
"12",0.869301115868934,"1",0.65606520965291,0.875,0.108904460334839,0.970919934206936,0.856476373423242
"13",0.780304146072379,"1",0.61518087033437,0.9,0.0873855352759492,0.976214620307035,0.856518876501967
"14",0.69467046757101,"1",0.570521037179489,0.925,0.0658334405664466,0.98177484758897,0.856647123052229
"15",0.607956831911769,"1",0.519486235413465,0.95,0.0438744892994341,0.987511830367944,0.85670641454694
"16",3.94715387554275,"1.5",1.40216575399834,0.6,0.518863849031233,0.888261349918782,0.855267970193682
"17",3.13834420066129,"1.5",1.35336028308496,0.625,0.495976935723701,0.892206402878904,0.855374470886531
"18",2.59524236883453,"1.5",1.29868344025443,0.65,0.468956893036422,0.896743552645972,0.855461153587088
"19",2.20379754343486,"1.5",1.24001871802047,0.675,0.439085004133914,0.90192398219382,0.855554043493641
"20",1.90693940178649,"1.5",1.17896959908435,0.7,0.407719967909654,0.907814839577487,0.855694369802204
"21",1.6729118528206,"1.5",1.11680505366133,0.725,0.373853695404427,0.913995261858795,0.855776479622502
"22",1.4826022185056,"1.5",1.05445530883398,0.75,0.340109010461135,0.920835404585921,0.85594275525033
"23",1.32377562678085,"1.5",0.992536247556901,0.775,0.304380276444116,0.927733829145415,0.85599894583686
"24",1.18818294989389,"1.5",0.931383471809096,0.8,0.268367533857534,0.93491403909536,0.856048942535606
"25",1.06998872076887,"1.5",0.871080936677291,0.825,0.233054323629811,0.94247176119985,0.856157022379074
"26",0.964847341022481,"1.5",0.81147058299138,0.85,0.197695847360019,0.950163844034401,0.85622857548814
"27",0.869301115868934,"1.5",0.752124620473392,0.875,0.162757903976573,0.958020056539408,0.856289607688769
"28",0.780304146072379,"1.5",0.692241486820736,0.9,0.128735874859422,0.966095152711897,0.856407355052005
"29",0.69467046757101,"1.5",0.630354243685617,0.925,0.0951316315363956,0.974252205721431,0.856479828040274
"30",0.607956831911769,"1.5",0.5634372521079,0.95,0.0619178164730325,0.982471163243096,0.856382614041479
"31",3.94715387554275,"2",1.78405174311208,0.6,0.674827521104891,0.863418725430007,0.854415161346741
"32",3.13834420066129,"2",1.68662354165857,0.625,0.639414328113273,0.868983495829317,0.854661790497678
"33",2.59524236883453,"2",1.58416775976353,0.65,0.598488489739921,0.875245701283724,0.854878640857684
"34",2.20379754343486,"2",1.48103439403923,0.675,0.554321753569329,0.882271641615269,0.855090859024685
"35",1.90693940178649,"2",1.38013651078547,0.7,0.50846406456637,0.88998379108213,0.855307935615286
"36",1.6729118528206,"2",1.28319370614875,0.725,0.461440902071106,0.898140417540455,0.855502067920384
"37",1.4826022185056,"2",1.19103637337518,0.75,0.413808009829106,0.906581362781295,0.855654135647905
"38",1.32377562678085,"2",1.10387658251499,0.775,0.367318007909563,0.915462274640507,0.855838016234825
"39",1.18818294989389,"2",1.02151158499396,0.8,0.321255633944446,0.924469384115007,0.855978883326014
"40",1.06998872076887,"2",0.943456204884982,0.825,0.275342295594017,0.93343031677167,0.85602304100086
"41",0.964847341022481,"2",0.869008779527519,0.85,0.231791305071582,0.942727596005769,0.856155766110853
"42",0.869301115868934,"2",0.797248513978449,0.875,0.189466199398978,0.952071433688659,0.856269808994635
"43",0.780304146072379,"2",0.726936484059058,0.9,0.148198583879498,0.961396324328047,0.856320214956148
"44",0.69467046757101,"2",0.656213913258631,0.925,0.108932179357913,0.970889232625682,0.856463679779732
"45",0.607956831911769,"2",0.581676241578907,0.95,0.0706891786137246,0.980350826339033,0.85649135152104
"46",3.94715387554275,"3",2.38843905023626,0.6,0.840078656772155,0.838091344202379,0.852753581909718
"47",3.13834420066129,"3",2.1685793460006,0.625,0.790108738423678,0.84579516617388,0.853383746584671
"48",2.59524236883453,"3",1.96273604852438,0.65,0.733277010650181,0.854507474553073,0.853954659679648
"49",2.20379754343486,"3",1.77608060623662,0.675,0.672161419053064,0.863887704479292,0.85444104689912
"50",1.90693940178649,"3",1.60933389163508,0.7,0.608967713524787,0.873680662912502,0.854832991920934
"51",1.6729118528206,"3",1.46109497472209,0.725,0.545897493930576,0.883823695784204,0.855154182451787
"52",1.4826022185056,"3",1.32914863177836,0.75,0.483691733568734,0.894090701398989,0.855389717343193
"53",1.32377562678085,"3",1.21110917601877,0.775,0.425064622812234,0.904819470000182,0.855664336204552
"54",1.18818294989389,"3",1.10469428177198,0.8,0.367507244917486,0.915321561176776,0.855817903124395
