"","sI","tI","rho","av_accuracy","av_search","av_accuracy_s1","av_accuracy_s0"
"1",3.94715387554275,1,0.2,0.6,0.300999604452797,0.855445582962311,0.925403113883484
"2",3.13834420066129,1,0.2,0.625,0.302923003535642,0.856231731092831,0.926665224653215
"3",2.59524236883453,1,0.2,0.65,0.303046528445123,0.857383688324045,0.928228084365887
"4",2.20379754343486,1,0.2,0.675,0.299247313053818,0.858738867927304,0.929695118655197
"5",1.90693940178649,1,0.2,0.7,0.288425302872869,0.860073157189304,0.930446107375374
"6",1.6729118528206,1,0.2,0.725,0.278299101736915,0.862028915487135,0.932227600979931
"7",1.4826022185056,1,0.2,0.75,0.262789122019022,0.864195050078227,0.933740718812775
"8",1.32377562678085,1,0.2,0.775,0.245417935497648,0.86691655547892,0.935810881375456
"9",1.18818294989389,1,0.2,0.8,0.224976012103305,0.870219014022664,0.938215832966338
"10",1.06998872076887,1,0.2,0.825,0.200572745492291,0.874058263430441,0.940885698642585
"11",0.964847341022481,1,0.2,0.85,0.170253746333818,0.878355028586685,0.943539237620555
"12",0.869301115868934,1,0.2,0.875,0.128115090928156,0.882522732213878,0.945283336578401
"13",0.780304146072379,1,0.2,0.9,0.0741439528104364,0.886557141645934,0.946548117513989
"14",0.69467046757101,1,0.2,0.925,0,NA,0.946583531486392
"15",0.607956831911769,1,0.2,0.95,0,NA,0.962603904772926
"16",3.94715387554275,1.5,0.2,0.6,0.556262371166907,0.855633112449771,0.881927166177339
"17",3.13834420066129,1.5,0.2,0.625,0.548192289756741,0.856556307418302,0.88368029447266
"18",2.59524236883453,1.5,0.2,0.65,0.533870342794655,0.857791999182336,0.885492574221648
"19",2.20379754343486,1.5,0.2,0.675,0.515555912607211,0.859444804844908,0.887974751186912
"20",1.90693940178649,1.5,0.2,0.7,0.489374970430913,0.86136743843331,0.890217345572231
"21",1.6729118528206,1.5,0.2,0.725,0.461934848896307,0.863949233242978,0.893586205268896
"22",1.4826022185056,1.5,0.2,0.75,0.421753041849117,0.866594626775626,0.895804045260233
"23",1.32377562678085,1.5,0.2,0.775,0.378949788785858,0.869897997228268,0.899063930830405
"24",1.18818294989389,1.5,0.2,0.8,0.327147978246349,0.873505672747714,0.902055587719271
"25",1.06998872076887,1.5,0.2,0.825,0.2692494069855,0.877595142874551,0.905455491591945
"26",0.964847341022481,1.5,0.2,0.85,0.200105808558039,0.881618474114085,0.908689671283387
"27",0.869301115868934,1.5,0.2,0.875,0.122012218504918,0.885174862377308,0.912581595974838
"28",0.780304146072379,1.5,0.2,0.9,0.0460084958306993,0.887569394440745,0.918978319739223
"29",0.69467046757101,1.5,0.2,0.925,0,NA,0.931957888429862
"30",0.607956831911769,1.5,0.2,0.95,0,NA,0.953577289394887
"31",3.94715387554275,2,0.2,0.6,0.730538926494267,0.855100390866494,0.855857033295068
"32",3.13834420066129,2,0.2,0.625,0.714040277004065,0.856370041237126,0.858295418413733
"33",2.59524236883453,2,0.2,0.65,0.687122315808474,0.857952047417189,0.860133341165173
"34",2.20379754343486,2,0.2,0.675,0.657075916873827,0.86016255234324,0.863118850872322
"35",1.90693940178649,2,0.2,0.7,0.613675977398345,0.862620068706968,0.865017878438882
