"","sI","tI","rho","aF","av_accuracy","av_search","av_accuracy_s1","av_accuracy_s0"
"1",3.94715387554275,1,0.2,TRUE,0.6,0.300999604452797,0.855445582962311,0.925403113883484
"2",3.63665788868146,1,0.2,FALSE,0.608333333333333,0.30539791649896,NA,NA
"3",3.3699780448092,1,0.2,FALSE,0.616666666666667,0.309087489033602,NA,NA
"4",3.13834420066129,1,0.2,TRUE,0.625,0.302923003535642,0.856231731092831,0.926665224653215
"5",2.93517811393803,1,0.2,FALSE,0.633333333333333,0.306045047464836,NA,NA
"6",2.75544873003645,1,0.2,FALSE,0.641666666666667,0.30039333138412,NA,NA
"7",2.59524236883453,1,0.2,TRUE,0.65,0.303046528445123,0.857383688324045,0.928228084365887
"8",2.45146863731555,1,0.2,FALSE,0.658333333333333,0.297774059489715,NA,NA
"9",2.32165456342262,1,0.2,FALSE,0.666666666666667,0.297326846371145,NA,NA
"10",2.20379754343486,1,0.2,TRUE,0.675,0.299247313053818,0.858738867927304,0.929695118655197
"11",2.09625838876281,1,0.2,FALSE,0.683333333333333,0.294257992781901,NA,NA
"12",1.99768226719199,1,0.2,FALSE,0.691666666666667,0.293171665721341,NA,NA
"13",1.90693940178649,1,0.2,TRUE,0.7,0.288425302872869,0.860073157189304,0.930446107375374
"14",1.82307999427325,1,0.2,FALSE,0.708333333333333,0.28123634303866,NA,NA
"15",1.74529954205237,1,0.2,FALSE,0.716666666666667,0.279875752321726,NA,NA
"16",1.6729118528206,1,0.2,TRUE,0.725,0.278299101736915,0.862028915487135,0.932227600979931
"17",1.60532783081546,1,0.2,FALSE,0.733333333333333,0.27132486374981,NA,NA
"18",1.54203863967302,1,0.2,FALSE,0.741666666666667,0.269555673264737,NA,NA
"19",1.4826022185056,1,0.2,TRUE,0.75,0.262789122019022,0.864195050078227,0.933740718812775
"20",1.42663239143331,1,0.2,FALSE,0.758333333333333,0.256214062114941,NA,NA
"21",1.37379000016445,1,0.2,FALSE,0.766666666666667,0.249816650650354,NA,NA
"22",1.32377562678085,1,0.2,TRUE,0.775,0.245417935497648,0.86691655547892,0.935810881375456
"23",1.2763235748324,1,0.2,FALSE,0.783333333333333,0.239224954140573,NA,NA
"24",1.23119685157517,1,0.2,FALSE,0.791666666666667,0.229237161414579,NA,NA
"25",1.18818294989389,1,0.2,FALSE,0.8,0.224976012103305,NA,NA
"26",1.14709027015194,1,0.2,FALSE,0.808333333333333,0.215626285477545,NA,NA
"27",1.10774505342706,1,0.2,FALSE,0.816666666666667,0.207990782282075,NA,NA
"28",1.06998872076887,1,0.2,TRUE,0.825,0.200572745492291,0.874058263430441,0.940885698642585
"29",1.03367552992392,1,0.2,FALSE,0.833333333333333,0.190220481189294,NA,NA
"30",0.998670472471017,1,0.2,FALSE,0.841666666666667,0.17944335610454,NA,NA
"31",0.964847341022481,1,0.2,TRUE,0.85,0.170253746333818,0.878355028586685,0.943539237620555
"32",0.932086898072079,1,0.2,FALSE,0.858333333333333,0.157448020618911,NA,NA
"33",0.900275074571871,1,0.2,FALSE,0.866666666666667,0.145062563714746,NA,NA
"34",0.869301115868934,1,0.2,TRUE,0.875,0.128115090928156,0.882522732213878,0.945283336578401
"35",0.839055572294523,1,0.2,FALSE,0.883333333333333,0.111456005809398,NA,NA
"36",0.809427996123455,1,0.2,FALSE,0.891666666666667,0.0946235674306205,NA,NA
"37",0.780304146072379,1,0.2,TRUE,0.9,0.0741439528104364,0.886557141645934,0.946548117513989
"38",0.751562396849177,1,0.2,FALSE,0.908333333333333,0.0530371006988024,NA,NA
"39",0.723068869494362,1,0.2,FALSE,0.916666666666667,0.0263943665789819,NA,NA
"40",0.694670467571009,1,0.2,FALSE,0.925,0,NA,NA
"41",0.666184373143596,1,0.2,FALSE,0.933333333333333,0,NA,NA
"42",0.637381277718624,1,0.2,FALSE,0.941666666666667,0,NA,NA
"43",0.607956831911769,1,0.2,TRUE,0.95,0,NA,0.962603904772926
"44",3.94715387554275,1.5,0.2,TRUE,0.6,0.556262371166907,0.855633112449771,0.881927166177339
"45",3.63665788868146,1.5,0.2,FALSE,0.608333333333333,0.556230085138371,NA,NA
"46",3.3699780448092,1.5,0.2,FALSE,0.616666666666667,0.552226786275027,NA,NA
"47",3.13834420066129,1.5,0.2,TRUE,0.625,0.548192289756741,0.856556307418302,0.88368029447266
"48",2.93517811393803,1.5,0.2,FALSE,0.633333333333333,0.5411723745041,NA,NA
"49",2.75544873003645,1.5,0.2,FALSE,0.641666666666667,0.537510688789674,NA,NA
"50",2.59524236883453,1.5,0.2,TRUE,0.65,0.533870342794655,0.857791999182336,0.885492574221648
"51",2.45146863731555,1.5,0.2,FALSE,0.658333333333333,0.526376693766565,NA,NA
"52",2.32165456342262,1.5,0.2,FALSE,0.666666666666667,0.522859992834623,NA,NA
"53",2.20379754343486,1.5,0.2,TRUE,0.675,0.515555912607211,0.859444804844908,0.887974751186912
"54",2.09625838876281,1.5,0.2,FALSE,0.683333333333333,0.508379421350872,NA,NA
"55",1.99768226719199,1.5,0.2,FALSE,0.691666666666667,0.501345663575483,NA,NA
"56",1.90693940178649,1.5,0.2,TRUE,0.7,0.489374970430913,0.86136743843331,0.890217345572231
"57",1.82307999427325,1.5,0.2,FALSE,0.708333333333333,0.482815137746758,NA,NA
"58",1.74529954205237,1.5,0.2,FALSE,0.716666666666667,0.471647095209684,NA,NA
"59",1.6729118528206,1.5,0.2,TRUE,0.725,0.461934848896307,0.863949233242978,0.893586205268896
