"","ID","mean_accuracy","mean_search","mean_confidence","mean_final_accuracy","AccStronger","MaxPoints","DotDiff","dprime","meta_dprime","mratio"
"50","byyccp",0.65,0.03,1.3,0.65,0.92,6485,2.76071428571428,1.11945039129692,0.427770346827547,0.382125326993689
"51","bzovoo",0.76,0.46,2.01,0.84,0.98,7825,2.87857142857143,1.82536153663821,0.833761806260666,0.456765298011164
"52","caaopl",0.85,0.01,2.45,0.86,1,8580,3.57142857142857,2.01410601687993,1.62305798214242,0.805845356967216
"53","cewqpg",0.75,0.31,2.05,0.86,0.9,8250,2.86428571428571,1.37323892432563,0.492582672851949,0.358701362251179
"54","cfdicp",0.83,0.46,2.2,0.98,0.98,9225,3.48214285714286,2.10791647809441,2.04149616707588,0.968490065090921
"55","cfhhlj",0.78,0.2,2.08,0.86,0.98,8455,2.83214285714286,1.46473933404115,1.21289990371283,0.828065359838803
"56","cfmyxg",0.73,0.04,2.15,0.76,0.86,7580,3.49642857142857,1.44189705326752,-0.956509364817932,-0.663368693798464
"57","cfrnqt",0.74,0.62,1.52,0.87,0.86,7985,2.83928571428571,1.1928160769283,0.238144286813893,0.199648790303996
"58","cfxjma",0.67,0.47,1.46,0.83,0.9,7825,2.425,0.865159472706666,0.346269718794071,0.400238025147849
"59","chfvlf",0.72,0,1.81,0.72,0.94,7200,3.07142857142857,1.0991861270556,1.25419919210685,1.14102531066916
"60","chpdfx",0.8,0.97,1.54,0.97,0.92,8465,2.95714285714286,1.64001853981967,1.17440470794343,0.716092336415031
"61","cjdjqk",0.8,0.15,2.65,0.84,0.96,8280,3.00357142857143,1.72131337067168,1.14486626434492,0.665112049817043
"62","ckxobc",0.72,0.53,1.64,0.82,0.78,7590,2.3,1.19898012102373,1.06812033164851,0.890857415331056
"63","cnkwvz",0.66,0.08,1.83,0.7,0.9,6945,3.06428571428571,0.795675967394224,0.75477247471598,0.948592776011321
"64","cotpxk",0.73,0.87,1.62,0.83,0.92,7190,2.69642857142857,1.41816577871706,0.00211205223182146,0.00148928444298813
"65","csdjcz",0.61,0.64,1.34,0.7,0.86,6245,2.18571428571428,0.54188273369014,0.614851367598861,1.13465761016561
"66","ctfjzi",0.69,0,2,0.69,0.94,6900,2.93928571428571,1.32554168383991,1.23914442191425,0.934821165581619
"67","ctunbu",0.74,0.47,1.52,0.89,1,8305,3.26428571428571,1.1965834624677,0.959100209860516,0.801532229003545
"68","cvrflt",0.63,0.06,1.88,0.63,0.8,6255,2.64642857142857,0.678540321714772,0.0178516591193014,0.0263089142207314
"69","cvzskk",0.767676767676768,0.121212121212121,2.54545454545455,0.797979797979798,0.9,7895,2.83571428571429,1.45832633930352,1.36504667339349,0.93603649375586
"70","cwfril",0.73,0.03,2.86,0.71,0.92,7085,3.20714285714286,1.14323326756894,1.25462789341062,1.09743822980113
"71","cwoyjb",0.73,0.73,2.07,0.93,0.86,8500,2.775,1.28872245720874,0.854926895545139,0.663391012364942
"72","cwtyzh",0.75,0.14,2.08,0.8,0.94,7885,2.68214285714286,1.42051600422816,1.00247249234657,0.705710100669558
"73","cwvrbo",0.8,0.03,2.62,0.81,0.96,8085,2.85,1.6697941408851,0.938066320560316,0.561785610328637
"74","cyfapl",0.81,0.68,1.77,0.96,0.98,8705,3.13571428571428,1.87576228830952,0.644555412766913,0.343623185509184
"75","cyukhk",0.79,0.15,1.11,0.87,1,8625,2.98928571428571,1.58913991605098,-0.0779021165596799,-0.0490215592553152
"76","cyytpx",0.68,0.09,2.21,0.7,0.84,6880,2.68928571428571,0.895617769790449,0.73171151053448,0.816990836063561
"77","czkwej",0.68,0.3,2.45,0.77,0.84,7490,2.7,0.96219809247605,0.802858769518449,0.834400707917048
"78","czrbyi",0.77,0.5,1.37,0.83,0.76,8050,2.39285714285714,1.45442135887831,0.29770820878561,0.204691856983736
"79","cztbfp",0.75,0.04,2.25,0.75,0.88,7480,2.68928571428571,1.31785969356514,0.981785068317044,0.744984517783579
"80","dayhjo",0.63,0.05,1.44,0.64,0.96,6375,2.43571428571428,0.653795233080556,0.287736972598045,0.440102585701466
"81","dbhvjx",0.7,0.07,1.14,0.72,0.78,7165,2.44285714285714,1.00144595422805,0.459771851843907,0.459108002686291
"82","dbiaih",0.7,0.47,1.54,0.73,0.94,7005,3.01071428571429,1.31555614904997,0.959776043953676,0.729559163739821
"83","dbipzr",0.67,0.19,2.15,0.74,0.773584905660377,7275,2.23928571428571,0.860639566000971,0.33438217494674,0.38852754179136
"84","ddkubj",0.77,0.54,2.81,0.74,0.94,6815,2.82857142857143,1.44694042409577,1.75043682593269,1.20975044776054
"85","delfvk",0.74,0,2.22,0.73,0.96,7300,2.93571428571428,1.26674976975148,0.412004693395024,0.32524552459627
"86","deuxgc",0.602040816326531,0.193877551020408,2,0.622448979591837,0.96,6175,3.11428571428571,0.735070068182024,-0.0424834202052515,-0.0577950620548617
"87","dfjytz",0.67,0.5,1.93,0.71,0.66,6775,2.53214285714286,1.53272798376871,0.961118350070143,0.627063875813713
"88","dgmbuv",0.783505154639175,0.721649484536082,1.96907216494845,0.938144329896907,1,8500,3.36428571428571,1.57503120891249,1.3656467794276,0.86706013931656
"89","dkjdtg",0.74,0.74,1.55,0.83,0.9,7555,2.39642857142857,1.3728831706019,-0.105918133088924,-0.0771501431126784
"90","dkxdtc",0.71,0.11,2.9,0.74,0.9,7330,2.82857142857143,1.21371446322802,1.79793654787122,1.48135051722907
"91","dlojos",0.85,0.71,1.61,0.98,0.9,8995,3.15357142857143,2.16448762676762,1.19878828816725,0.553843908988975
"92","dmcfaa",0.808080808080808,0.0505050505050505,1.76767676767677,0.828282828282828,0.98,8100,3.39642857142857,1.68971844707819,0.0539680170712883,0.0319390589388477
"93","dmilke",0.66,0.83,1.38,0.9,0.92,8015,3.21785714285714,0.955810967693412,0.62129932192279,0.650023218944773
"94","dmxpje",0.69,0.58,1.89,0.83,0.92,7740,2.88928571428571,0.975568492364495,0.49896477707068,0.511460528887454
"95","dnbhnn",0.79,0.03,1.83,0.78,0.68,7755,2.68928571428571,1.68173007434093,0.471762019901352,0.280521843011123
"96","dnclzl",0.83,0.06,2.12,0.85,0.92,8440,3.16071428571428,1.8199166003764,1.19767046913881,0.658090853663902
"97","dneyew",0.77,0.1,2.79,0.81,0.96,8035,3.18571428571428,1.42383542037527,1.76020325592,1.23624067131022
"98","dnjwrm",0.7,0.74,2.84,0.82,0.74,7290,2.46785714285714,0.960743631649238,0.724639595553419,0.754248658728534
"99","doqcwt",0.82,0.01,2,0.83,0.88,8295,3.35714285714286,1.76811625643254,0.142503678250649,0.0805963282856599
"100","doxkws",0.78,0.73,1.73,0.97,0.94,8795,3.28214285714286,1.56591552510632,0.742880493307086,0.474406493451585
"101","dpbypm",0.63,0.04,1.49,0.65,0.84,6480,2.36785714285714,0.645503598111872,-0.293325719283315,-0.454413763364459
"102","dplkwh",0.7,0,2.43,0.55,0.92,5500,3.08214285714286,1.04524538537156,0.666753127775194,0.637891481853499
"103","dpugvc",0.74,1,2.76,0.95,0.92,8270,2.78571428571428,1.41441326406888,0.378459602186962,0.267573566934912
