"ID","mean_accuracy","mean_search","mean_confidence","mean_final_accuracy","AccStronger","MaxPoints","DotDiff","dprime","meta_dprime","mratio"
"cyytpx",0.68,0.09,2.21,0.7,0.84,6880,2.68928571428571,0.895617769790449,0.738319136389626,0.824368565802768
"czkwej",0.68,0.3,2.45,0.77,0.84,7490,2.7,0.96219809247605,0.797372110665544,0.82869849452065
"czrbyi",0.77,0.5,1.37,0.83,0.76,8050,2.39285714285714,1.45442135887831,0.280738759964892,0.193024365498459
"cztbfp",0.75,0.04,2.25,0.75,0.88,7480,2.68928571428571,1.31785969356514,0.974640604895556,0.739563255219459
"dayhjo",0.63,0.05,1.44,0.64,0.96,6375,2.43571428571428,0.653795233080556,0.281118360916894,0.429979214734128
"dbhvjx",0.7,0.07,1.14,0.72,0.78,7165,2.44285714285714,1.00144595422805,0.447916809649037,0.447270077589266
"dbiaih",0.7,0.47,1.54,0.73,0.94,7005,3.01071428571429,1.31555614904997,0.960867045502489,0.730388471975429
"dbipzr",0.67,0.19,2.15,0.74,0.773584905660377,7275,2.23928571428571,0.860639566000971,0.327024612063525,0.379978593806779
"ddkubj",0.77,0.54,2.81,0.74,0.94,6815,2.82857142857143,1.44694042409577,1.74349462921967,1.20495260218417
"delfvk",0.74,0,2.22,0.73,0.96,7300,2.93571428571428,1.26674976975148,0.405709663146213,0.320276089906698
"deuxgc",0.602040816326531,0.193877551020408,2,0.622448979591837,0.96,6175,3.11428571428571,0.735070068182024,-0.0432439323043967,-0.0588296737634108
"dfjytz",0.67,0.5,1.93,0.71,0.66,6775,2.53214285714286,1.53272798376871,0.956566763818894,0.624094277620524
"dgmbuv",0.783505154639175,0.721649484536082,1.96907216494845,0.938144329896907,1,8500,3.36428571428571,1.57503120891249,1.35550854415622,0.860623292088387
"dkjdtg",0.74,0.74,1.55,0.83,0.9,7555,2.39642857142857,1.3728831706019,-0.107554453080434,-0.0783420289384715
"dkxdtc",0.71,0.11,2.9,0.74,0.9,7330,2.82857142857143,1.21371446322802,1.79261161643138,1.47696321560156
"dlojos",0.85,0.71,1.61,0.98,0.9,8995,3.15357142857143,2.16448762676762,1.17108445442253,0.541044651833556
"dmcfaa",0.808080808080808,0.0505050505050505,1.76767676767677,0.828282828282828,0.98,8100,3.39642857142857,1.68971844707819,0.0481255829071545,0.0284814212630346
"dmilke",0.66,0.83,1.38,0.9,0.92,8015,3.21785714285714,0.955810967693412,0.622042750837475,0.650801018049213
"dmxpje",0.69,0.58,1.89,0.83,0.92,7740,2.88928571428571,0.975568492364495,0.487999258695837,0.500220397148199
"dnbhnn",0.79,0.03,1.83,0.78,0.68,7755,2.68928571428571,1.68173007434093,0.480652840964124,0.285808554117991
"dnclzl",0.83,0.06,2.12,0.85,0.92,8440,3.16071428571428,1.8199166003764,1.15763778593231,0.636093865890824
"dneyew",0.77,0.1,2.79,0.81,0.96,8035,3.18571428571428,1.42383542037527,1.75456606330957,1.23228151105212
"dnjwrm",0.7,0.74,2.84,0.82,0.74,7290,2.46785714285714,0.960743631649238,0.732822148969129,0.762765554543564
"doqcwt",0.82,0.01,2,0.83,0.88,8295,3.35714285714286,1.76811625643254,0.151003184670994,0.0854034253243434
"doxkws",0.78,0.73,1.73,0.97,0.94,8795,3.28214285714286,1.56591552510632,0.755232601349171,0.482294599702557
"dpbypm",0.63,0.04,1.49,0.65,0.84,6480,2.36785714285714,0.645503598111872,-0.288700105972575,-0.447247864794303
"dplkwh",0.7,0,2.43,0.55,0.92,5500,3.08214285714286,1.04524538537156,0.658997103806095,0.630471191768849
"dpugvc",0.74,1,2.76,0.95,0.92,8270,2.78571428571428,1.41441326406888,0.365922358390043,0.258709648506395
"dpvifv",0.78,0.34,2.14,0.9,0.92,8560,3.11785714285714,1.71739779986375,0.98396420617764,0.572939016374486
"dqbybx",0.62,0.41,1.93,0.74,0.96,7015,2.525,1.06270998094926,0.940601625959548,0.885097197562183
"dqyugk",0.83,0.36,1.62,0.94,0.98,9025,3.28571428571429,1.89636661048565,1.1739210960512,0.619036999259636
"dqzxqz",0.77,0.77,2.56,0.93,0.94,8315,3.30357142857143,1.45442135887831,1.05461835936074,0.725111985548734
"drimwq",0.76,0.66,2.02,0.91,0.92,8365,2.97142857142857,1.43966873307508,0.85179363364774,0.591659465874722
"dsawqr",0.65,0,2.25,0.64,0.92,6400,3.30357142857143,0.765684863358577,0.387426221168966,0.505986522274413
"dsnkly",0.68,0.26,1.5,0.75,0.9,7340,2.97142857142857,1.05330918594295,1.27054181958835,1.20623824091207
"dtgeiu",0.757575757575758,0.101010101010101,1.18181818181818,0.797979797979798,0.9,7950,2.83214285714286,1.37144698459545,0.350602583097352,0.255644284493266
"dujbjm",0.68,0.02,1.51,0.68,0.82,6790,2.475,1.31652647791209,0.603907817948526,0.458713005838117
"dxlazu",0.72,0.25,1.57,0.8,0.901960784313726,7875,2.84285714285714,1.33538471834893,0.951555905478357,0.712570611602371
"dynaku",0.72,0.61,1.4,0.84,0.92,7720,2.55357142857143,1.14390021778728,-0.0536302609522939,-0.0468836880335895
"dyooft",0.783505154639175,0.597938144329897,1.68041237113402,0.938144329896907,0.94,8665,3.07142857142857,1.52045910808772,1.21709194273196,0.800476603585013
"dzshew",0.76,0.49,1.73,0.93,0.92,8710,2.8,1.51548431050883,1.11965731379662,0.738811550890086
"dzwutt",0.61,0.02,2.19,0.61,0.78,6090,2.5,0.673373383530543,0.434672311948906,0.645514543016074
"eanonx",0.63,0.51,2.39,0.78,0.68,7530,2.21071428571428,0.838008087042061,0.00333623150631454,0.00398114476208758
"ebljup",0.66,0.17,1.52,0.75,0.92,7415,3.47142857142857,0.807087636406112,0.206741203741449,0.256157069462802
"ecwama",0.81,0.1,1.86,0.82,0.96,8150,2.91428571428571,1.72297303573438,1.2943147370734,0.751210094545518
"eebzpd",0.78,0.68,1.34,0.96,0.96,8960,3.05,1.8790093571883,1.10759021379435,0.589454336433808
"efpoli",0.79,0.2,2.34,0.87,0.96,8525,3.16071428571429,1.70468200939893,1.39038667421572,0.815628173788245
"efzxwg",0.72,0,1.98,0.72,0.92,7200,3.17142857142857,1.18289443118807,0.601711258021469,0.50867705701947
"egwsbn",0.73,0.49,1.77,0.86,0.98,8205,3.03928571428571,1.18165105472974,0.95503534606071,0.808221126057505
"eifhma",0.83,0.42,2.23,0.9,0.94,8790,3.11785714285714,1.93118503453428,1.0410528543796,0.53907462814958
"eiswyd",0.81,0.46,2.02,0.94,0.98,8960,2.74642857142857,1.61825887254618,1.32763276596226,0.820408148835515
"eitrhl",0.76,0,1.57,0.76,0.755102040816326,7600,2.93928571428571,1.37360606660288,1.07757009967568,0.784482629973136
"eiwwxk",0.71,0.72,1.36,0.8,0.84,7160,2.13928571428571,1.06848052902164,-0.0157799189677916,-0.0147685601554578
"elkjmj",0.73,0.8,1.76,0.95,0.9,8530,2.93571428571428,1.208096970339,1.22057746335466,1.01033070467196
"ellvss",0.77,0.54,1.9,0.89,0.92,8345,2.68214285714285,1.52234450880436,0.931992044590514,0.612208366240634
"eoxjqn",0.77,0.74,1.68,0.93,0.88,8360,2.79642857142857,1.41521938785762,1.13723268353656,0.803573419989756
"eqoewu",0.85,0.11,2.27,0.85,0.92,8445,3.40357142857143,2.01262157099227,1.65711577805257,0.823361829136898
"esqflm",0.65,0.41,2.13,0.82,0.9,7785,2.82142857142857,0.863695653367037,0.37311714826441,0.432000724803752
"eswilo",0.64,0.01,2.45,0.64,0.68,6395,2.75357142857143,0.6004727704682,0.244659826844227,0.407445331207043
"euqrbq",0.69,0.06,2.01,0.72,0.84,7155,2.52142857142857,1.27573200019003,0.406912493390591,0.31896393077071
"evepkm",0.79,0.96,1.93,1,0.94,8830,3.5,1.62539869244107,0.99361784591095,0.611307152227804
"eyfpac",0.82,0.45,1.91,0.96,1,9090,3.23928571428571,1.93153560622829,1.87753812186909,0.972044271829585
"eynyzb",0.73,0.12,2.13,0.77,0.94,7640,3.11071428571428,1.25154121839182,0.0206350102628423,0.0164876793185905
"eyqhub",0.67,0.42,2.26,0.79,0.88,7495,3.20714285714286,0.931511213606599,0.769278912058814,0.82583966872534
"ezjeew",0.72,0.03,2.34,0.7,0.82,6970,2.99285714285714,1.26211471132568,0.302296787801324,0.239516095556641
"eznslb",0.72,0,2.22,0.72,0.86,7200,2.65357142857143,1.20105098040455,1.16869900987883,0.97306361590511
"fcpdxx",0.71,0.42,2.36,0.81,0.86,7680,2.63214285714286,1.14698261823615,0.543487903990106,0.473841447419571
"fcvhfj",0.67,0.13,1.74,0.69,0.92,6805,3.01785714285714,1.01431105761354,1.26876316549457,1.25086200724233
"fecscw",0.82,0.42,2.07,0.93,1,8835,3.11785714285714,1.74536680855847,0.553212042278712,0.31696033152803
"feghua",0.81,0.29,1.84,0.89,0.98,8560,3.29285714285714,1.72974543224557,1.11142024165486,0.642533994272215
"fenvhz",0.65,0.81,2.17,0.95,0.96,8465,3.23214285714285,0.907937472612254,1.11350086097488,1.22640698788562
"feuuwp",0.66,0.05,2.07,0.68,0.96,6760,2.98928571428571,1.66817357210818,1.56415938437107,0.937647862622798
"ffuzlq",0.73,0.67,1.82,0.67,0.583333333333333,5990,2.09285714285714,1.28872245720874,0.401652158340307,0.311666919508993
"ffyxau",0.74,0,2.38,0.76,1,7600,3.5,1.64186112052914,0.59731989256045,0.363806588201532
"fgeabe",0.64,0.19,2.91,0.65,0.72,6315,2.45714285714286,0.766862802307108,1.62364708550358,2.11725888988074
"fhhbde",0.79,0.21,2.24,0.82,0.9,8095,2.69285714285714,1.8751602095774,1.10913011938511,0.591485524127601
"firqwt",0.64,0.97,1.98,0.95,0.94,8265,3.13571428571428,0.733666182728856,0.32009723223162,0.436298196328234
"fjhhox",0.75,0.36,2.54,0.9,0.96,8595,2.92857142857143,1.5302278268596,1.55946807071231,1.01910842512433
"fkoegk",0.72,0.43,1.85,0.71,0.88,6645,2.26785714285714,1.13138734751153,0.664510562971493,0.587341341966636
"flkgwb",0.777777777777778,0.383838383838384,1.67676767676768,0.909090909090909,0.92,8685,3.00714285714286,1.46616495177163,0.68330608866841,0.466049940590068
"flnpct",0.76,0.66,1.53,0.96,0.94,8880,3.23928571428571,1.39624107959109,1.32350370747702,0.947904861719597
"fnbpzd",0.73,0.45,2.14,0.84,0.94,7920,2.97142857142857,1.28438154093326,0.465295311771616,0.362271877119568
"fqocze",0.75,0.9,1.74,0.97,0.98,8575,3.48928571428571,1.31860566149477,1.24103357205561,0.941171123631286
"fqwihg",0.77,0.98,2.93,1,0.92,8760,3.46785714285714,1.42319500256785,1.4483298672621,1.0176608719458
"frgggq",0.66,0.98,1.7,0.83,0.9,7075,2.84285714285714,1.06056224353143,0.780982096434611,0.736384970517262
"frzlti",0.69,0.05,1.99,0.7,0.826923076923077,6975,2.80357142857143,1.05401792320353,1.28202093880828,1.21631796821041
"fshrly",0.666666666666667,0.181818181818182,1.95959595959596,0.747474747474748,0.78,7380,2.3,0.84332016581637,0.557684274301887,0.661296026002206
"fspizy",0.78,0.44,2.19,0.88,0.88,8300,2.80714285714286,1.5515583633531,0.567469576176341,0.365741688859175
"fvahyn",0.77,0.73,1.49,0.94,0.96,8510,2.95357142857143,1.45696109817233,0.654013895602106,0.448889058481059
"fviitc",0.72,0.51,1.81,0.86,0.86,8135,2.64642857142857,1.23899066025262,1.25519401377766,1.01307786575384
"fwxjrh",0.777777777777778,0.545454545454545,1.61616161616162,0.919191919191919,0.94,8485,2.86785714285714,1.43142677841435,1.05610571692218,0.737799329206397
"fxrahc",0.74,0.33,2.3,0.81,0.98,7725,3.11428571428571,1.47681098191338,0.944589530228699,0.63961437299503
"fxwsbo",0.73,0.99,1.93,1,0.92,8755,3.63571428571428,1.68235178529302,0.148596422650583,0.0883266056181591
"fyzauu",0.793814432989691,0.216494845360825,2.25773195876289,0.793814432989691,0.86,7705,2.55,1.79535758202549,1.37946352504997,0.768350293479522
"gagmbf",0.77,0.2,1.3,0.79,0.9,7755,2.70357142857143,1.42319500256785,0.354011171532888,0.248743967547772
"gciwnv",0.66,0.45,1.99,0.9,0.96,8520,3.44285714285714,0.911008171858348,1.83454599436597,2.01375360950244
"gdbpbi",0.63,0.7,2.12,0.85,0.66,7700,2.84285714285714,0.610654630445633,1.05587668358169,1.72908978486113
"gdolnp",0.74,0.5,1.48,0.83,0.84,7825,2.51785714285714,1.23573452810686,0.968658348740961,0.783872528207933
"gfdbje",0.79,0.54,2.16,0.98,0.92,9110,3.06785714285714,1.59849570551536,1.47784432447672,0.92452192356704
"gfoarr",0.63,0.35,2.15,0.7,0.92,6720,2.68214285714286,0.833069923555027,1.12934031167677,1.35563687962403
"ggnqys",0.74,0.38,1.63,0.83,0.82,7930,2.525,1.51985137701523,0.6278341157623,0.413089151516431
"ghztbc",0.68,0.16,2.05,0.71,0.84,6960,2.82142857142857,0.886202584843617,1.07389951576656,1.21179912373654
"gjgiel",0.686868686868687,0.181818181818182,2.44444444444444,0.707070707070707,0.8,6950,2.9,1.20830892262227,0.630429575961746,0.52174536176857
"gjopdx",0.67,0.03,2.75,0.69,0.84,6870,2.61428571428571,0.883670632045818,0.598128615907203,0.676868274463817
"gjtdnq",0.75,0.27,2.22,0.56,0.9,5270,2.84285714285714,1.30622164981261,1.2730751383049,0.974624129440459
"gjxsso",0.78,0.65,1.57,0.92,0.96,8320,2.63928571428571,1.47097096347641,0.784888496319951,0.533585309165444
"glhwwp",0.6,0.23,2.06,0.67,0.96,6480,3.01071428571429,0.495055170018735,1.13046715802513,2.28351752791987
"gllzes",0.82,0.38,1.97,0.91,0.96,8760,3.08214285714286,2.02424157087687,1.41545845024958,0.699253720807851
"glpcfn",0.78,0.01,1.1,0.8,0.98,7995,3.18928571428571,1.9526156483146,0.493369786529682,0.25267122434235
"gmbkiw",0.74,0.16,2.79,0.77,0.94,7545,2.83571428571428,1.26042538220755,1.02049967054205,0.809647032619025
"gmxrhy",0.7,0.28,2.93,0.81,0.9,7810,2.825,1.20916078616108,2.76582024229929,2.28738830596748
"gncyvf",0.75,0.37,2.11,0.87,1,8260,3.375,1.31595062213582,1.2233026352039,0.929596152489714
"gnuzlk",0.81,0.6,2.43,0.95,1,8855,3.12142857142857,1.88379275449892,1.50755827601146,0.80027820067312
"goxuod",0.8,0.99,2.41,0.92,0.96,7975,3.07142857142857,1.92450111534875,1.43901144016763,0.747732193393329
"gplujc",0.69,0.51,2.1,0.81,0.9,7485,2.73928571428571,1.15784828958168,0.170720449625906,0.147446302906909
"gpnmji",0.795918367346939,0.510204081632653,2.45918367346939,0.908163265306122,0.8,8680,3.06785714285714,1.65523077840673,0.569598250883801,0.344120142226982
"gqhgmb",0.66,0.17,1.92,0.72,0.98,6965,2.83571428571428,0.934884740335481,0.944214214460357,1.00997927736154
"gqxhoh",0.8,0.03,1.41,0.82,1,8185,3.42142857142857,2.06333965786524,0.804217931710494,0.389765169609811
"guylfo",0.74,0,1.77,0.73,0.84,7300,2.85357142857143,1.26052644959789,0.203787742423758,0.161668755533664
"gvqihj",0.77,0.02,2.22,0.78,0.9,7790,3.06428571428571,1.48898504014086,1.1038732904898,0.741359557504601
"gvwvxr",0.85,0.24,2.64,0.92,0.959183673469388,8930,2.97857142857143,2.01410601687993,2.34576694210192,1.16466905040866
"gwfgik",0.77,0.86,1.57,0.96,0.94,8495,3.325,1.333639705966,0.637736902807284,0.478192798215581
"gyjxpg",0.78,0.51,2.1,0.91,0.98,8560,3.05714285714286,1.58327421434454,1.00652670102003,0.635724811217694
"hadeyd",0.79,0,2.06,0.79,0.98,7900,2.925,1.66754907833491,1.45894565799775,0.874904179404751
"hblyif",0.82,0.6,2.07,0.99,0.94,9120,3.5,1.79703795081641,1.63442663915393,0.909511476043895
"hcvxup",0.85,0.06,2.83,0.87,0.959183673469388,8625,3.83571428571429,2.01410601687993,1.67026196750753,0.829282050452811
"hcymtv",0.63265306122449,0.255102040816327,1.80612244897959,0.673469387755102,0.96,6555,3.06071428571429,2.08423949459077,0.671573601178315,0.322215178688078
"hdwuou",0.69,0.87,1.3,0.96,0.9,8505,3.11785714285714,0.937968981490341,0.145322806394807,0.154933488486904
"hglblk",0.68,0.65,1.4,0.82,0.82,7500,2.73214285714286,1.02238436516246,0.581833881414564,0.569095050003146
"hhxwqj",0.68,0,2.75,0.68,0.84,6800,2.68214285714286,0.89045553512503,0.0869131126562472,0.0976052247730075
"hjdyci",0.680412371134021,0.0206185567010309,2.71134020618557,0.680412371134021,0.86,6690,3.175,0.897087246835646,0.966229714737535,1.07707440736203
"hjfxry",0.71,0.04,1.97,0.72,0.8,7180,3.43214285714286,1.5877267483104,0.901759166290802,0.567956146893929
"hmryhu",0.77,0.33,2.7,0.89,0.98,8555,3.58214285714286,2.4611220263268,2.26949985239344,0.922140319787655
"hnzvex",0.81,0.67,1.6,0.95,1,8670,3.31071428571428,1.69731153197579,0.415726297383274,0.244932229323476
"hoglcr",0.82,0.86,1.37,0.97,1,8715,3.74642857142857,1.80582158852048,0.439620406617051,0.243446201668922
"hokhfk",0.6,0.39,2.41,0.68,0.94,6380,2.43571428571428,0.70517737014693,0.704805096948643,0.999472085727583
"hpqxgd",0.7,0.05,1.17,0.72,0.92,7160,2.87142857142857,1.12474038738656,0.163714313238181,0.145557423805672
"hpwhsb",0.806122448979592,0.744897959183674,2.13265306122449,1,0.98,9190,3.30714285714286,1.74284143298888,1.47800427954069,0.848042886498284
"hqctox",0.727272727272727,0.181818181818182,2.73737373737374,0.727272727272727,0.96,7020,3.025,1.57748975388114,0.632689281522251,0.401073464956352
"hsrfoy",0.81,0.46,2.44,0.93,0.82,8845,2.91428571428571,1.74198699643837,1.32658325541676,0.761534533913892
"httgwu",0.67,0.12,1.78,0.7,0.92,6910,2.65714285714286,0.773844667814812,0.785198049679533,1.01467139638861
"hvemrb",0.704081632653061,0.0102040816326531,1.73469387755102,0.704081632653061,0.84,6995,2.83928571428571,1.18653059307166,1.13988396571636,0.960686536337385
"hwcgcn",0.63,0.11,2.83,0.65,0.89,6430,2.45357142857143,0.768964411183918,0.731717283264968,0.951561961285565
