"","id","sI","sI_subj","tI","sI_by_tI","av_correct","av_confidence","av_search","av_search_when_correct","av_search_when_incorrect","da","meta_da","M_ratio","search_slope","av_search_empirical","av_search_correct_empirical","av_search_incorrect_empirical","sigma_ratio","sigma_difference","expected_accuracy","search_ratio","search_ratio_empirical","search_ratio_empirical2"
"1",1,1.55786004901278,1.59824537948339,2.22196518252304,0.701118118891418,0.771,0.736358940175441,0.582786133416029,NA,NA,1.41342928781858,0.937664014424373,0.663396480110807,NA,0.585,0.53177691309987,0.764192139737991,0.974731458017001,-0.0403853304706097,0.260467049235012,NA,0.39729098570619,0.398800200127974
"2",2,1.81317347435155,1.92712711600666,1.59019407936407,1.14022149741411,0.701,0.698942278184354,0.534478290109618,NA,NA,1.00825889167028,1.64064000959703,1.62720113172437,NA,0.536,0.453637660485021,0.729096989966555,0.940868642909636,-0.113953641655113,0.290638901269995,NA,0.513916659480473,0.515379828477297
"3",3,3.50717154358674,2.02147681328424,2.41385679479468,1.45293273037146,0.604,0.681854386550209,0.730185008205648,NA,NA,0.505756811181982,1.00079021770646,1.97879731044562,NA,0.721,0.649006622516556,0.830808080808081,1.73495511822801,1.48569473030251,0.387772254040465,NA,0.252151814551352,0.248979993081866
"4",4,1.90306867681579,1.18465846655743,1.86801280525569,1.01876639788628,0.705,0.793848761502012,0.376084332997393,NA,NA,1.03017474676843,1.47196794409823,1.42885267641793,NA,0.358,0.253900709219858,0.606779661016949,1.60642812298976,0.718410210258354,0.299629255349282,NA,0.98569539608126,0.938297399906679
"5",5,1.35669752064623,1.29476042016049,2.50697124379616,0.541169957175838,0.771,0.779215104609412,0.439830253560334,NA,NA,1.41326753244993,0.776240781446056,0.549252539680455,NA,0.455,0.407263294422827,0.615720524017467,1.04783672679618,0.061937100485731,0.230535642162431,NA,0.458147757350857,0.47394927453767
"6",6,2.81664881432697,1.82015963365101,2.32918177635565,1.20928681604835,0.641,0.691411595073948,0.674149368834259,NA,NA,0.693132849207524,1.22904725021205,1.77317703470158,NA,0.711,0.63182527301092,0.852367688022284,1.54747350850603,0.996489180675961,0.361282870557625,NA,0.310186237709372,0.327141765915655
"7",7,3.65095088070142,1.47385387219972,2.08582345883,1.7503642819078,0.608,0.739724645654872,0.548386041802511,NA,NA,0.525654523382425,1.39147603479199,2.64713033541168,NA,0.55,0.411184210526316,0.76530612244898,2.47714576700361,2.1770970085017,0.392080256517511,NA,0.64385802167757,0.645752964022729
"8",8,1.23326984925354,1.41665585347646,1.60590162625037,0.767961018965471,0.802,0.769354930474214,0.433592927092583,NA,NA,1.61393515208284,1.836564790472,1.13794212121958,NA,0.426,0.34788029925187,0.742424242424242,0.870550067772004,-0.183386004222923,0.208725176611915,NA,0.926159491014958,0.909940911208931
"9",9,1.19797548001287,2.3182649145585,1.18231026498188,1.01324966507943,0.796,0.705612988786805,0.399716250432332,NA,NA,1.57323599680582,2.55244520067482,1.62241723800949,NA,0.439,0.388190954773869,0.637254901960784,0.516755213129306,-1.12028943454563,0.201931599562522,NA,0.567343843250376,0.62310188019008
"10",10,1.85443059566859,1.58916516048178,1.22322731445431,1.51601470450803,0.693,0.715668894503059,0.382269223068265,NA,NA,0.965490069446389,2.25913557468855,2.33988483794964,NA,0.409,0.297258297258297,0.661237785016287,1.16692125008983,0.265265435186817,0.294857498060446,NA,0.889925397941294,0.952154831708725
"11",11,2.38812604354794,1.45581035170871,1.98825303782878,1.20111776424384,0.679,0.748925350105328,0.520545653415787,NA,NA,0.889949307088782,1.48713794454107,1.67103669017489,NA,0.516,0.40500736377025,0.750778816199377,1.64041012673453,0.932315691839224,0.33770367623074,NA,0.670099714009935,0.664248083064754
"12",12,1.04973233630499,1.17725499430899,1.70054257939719,0.617292591801556,0.843,0.799325361905786,0.341633233112369,NA,NA,1.90183120183321,1.68521165519496,0.886099488519568,NA,0.369,0.31079478054567,0.681528662420382,0.891677963890183,-0.127522658004001,0.170390358753502,NA,1.00469886686914,1.08518096584817
"13",13,2.66101130462398,3.74240838662415,1.41379515911893,1.88217599095636,0.643,0.610049631040407,0.52479243731737,NA,NA,0.702439555198406,2.02706765583401,2.88575385715781,NA,0.513,0.477449455676516,0.57703081232493,0.711042470440902,-1.08139708200016,0.353533918247558,NA,0.194115704967668,0.189753795152714
"14",14,2.55659249246124,1.3921414278767,1.19110297886803,2.14640760523571,0.651,0.730476002235133,0.371662485866915,NA,NA,0.743448257007515,2.62071770393463,3.52508419951564,NA,0.366,0.230414746543779,0.6189111747851,1.836445953886,1.16445106458455,0.347844794311095,NA,1.06146565093257,1.04529362799461
"15",15,3.25270290414131,3.7332802577734,1.00847947382225,3.22535360269972,0.609,0.610617298304699,0.30975825559708,NA,NA,0.53057936043271,3.04471233226455,5.73846734215491,NA,0.304,0.261083743842365,0.370843989769821,0.871272093052365,-0.480577353632098,0.379255527548958,NA,0.361053440550843,0.354341632367106
"16",16,3.46967585123847,0.989579435987368,1.37560316511038,2.52229417555902,0.621,0.801234684608964,0.308605332348876,NA,NA,0.591795537464308,2.51327232943247,4.24685921120865,NA,0.315,0.138486312399356,0.604221635883905,3.5062125637004,2.4800964152511,0.386592476314399,NA,1.47852483645889,1.50916162057122
"17",17,3.35739023534596,3.26499768086635,1.69417047156308,1.98173105463723,0.599,0.611324988445072,0.633179187418648,NA,NA,0.481080054119113,1.6602765674905,3.45114405237725,NA,0.646,0.57762938230384,0.748129675810474,1.02829789283498,0.09239255447961,0.382908675621729,NA,0.263932342889526,0.269276528500142
"18",18,2.92064419083518,3.39393160635603,1.27607690647823,2.28876815810083,0.644,0.62344567041652,0.457316897657698,NA,NA,0.708209877005914,2.35719764646883,3.32838855119376,NA,0.453,0.395962732919255,0.556179775280899,0.860548923662901,-0.473287415520848,0.366028624679893,NA,0.353680005213343,0.350341400421129
