"ID","Block","Trial","InfoCost","Target","Correct1st","Confidence1st","RT1st","SeeAgain","RTSee","Correct2nd","Confidence2nd","RT2nd"
"jixpqi",1,1,5,-1,1,83,1001,1,2162,1,100,466
"jixpqi",1,2,5,-1,1,83,669,1,1046,1,100,470
"jixpqi",1,3,5,-1,1,83,1101,1,828,1,100,519
"jixpqi",1,4,5,1,1,67,1482,1,1008,1,83,1285
"jixpqi",1,5,5,1,0,67,1513,1,1074,1,100,1254
"jixpqi",1,6,5,-1,0,67,2412,1,979,1,100,429
"jixpqi",1,7,5,-1,1,83,879,1,1019,1,100,609
"jixpqi",1,8,5,1,1,67,1282,1,452,1,100,1357
"jixpqi",1,9,5,-1,1,83,1682,1,381,1,100,410
"jixpqi",1,10,5,1,1,67,1187,1,462,1,83,814
"jixpqi",1,11,5,-1,1,67,1146,1,940,1,100,536
"jixpqi",1,12,5,-1,0,67,1066,1,423,1,83,746
"jixpqi",1,13,5,1,1,83,1061,1,358,1,100,861
"jixpqi",1,14,5,1,1,67,1824,1,89,1,100,1491
"jixpqi",1,15,5,1,1,83,1165,1,706,1,83,1215
"jixpqi",1,16,5,1,1,83,1152,1,524,1,100,1146
"jixpqi",1,17,5,-1,1,83,1111,1,1343,1,100,789
"jixpqi",1,18,5,1,1,83,1478,1,610,1,100,1345
"jixpqi",1,19,5,-1,1,67,1066,1,173,1,100,1040
"jixpqi",1,20,5,-1,1,83,1387,1,326,1,100,838
"jixpqi",1,21,5,-1,1,83,1216,1,356,1,100,184
"jixpqi",1,22,5,-1,1,83,1112,1,1030,1,100,639
"jixpqi",1,23,5,-1,1,83,1733,1,752,1,100,783
"jixpqi",1,24,5,-1,1,83,818,1,2478,1,100,559
"jixpqi",1,25,5,-1,1,67,1571,1,333,1,100,1052
"jixpqi",2,26,20,-1,1,83,1665,1,1522,1,100,8
"jixpqi",2,27,20,-1,1,83,1176,1,478,1,100,429
"jixpqi",2,28,20,-1,1,67,2232,1,220,1,83,585
"jixpqi",2,29,20,1,1,67,1436,1,608,1,83,902
"jixpqi",2,30,20,1,1,67,675,1,537,1,83,1174
"jixpqi",2,31,20,-1,1,83,700,1,562,1,83,780
"jixpqi",2,32,20,-1,0,67,1268,1,770,1,83,626
"jixpqi",2,33,20,1,1,67,1183,1,365,1,83,863
"jixpqi",2,34,20,-1,1,83,942,1,662,1,100,459
"jixpqi",2,35,20,1,1,83,1281,1,865,1,83,786
"jixpqi",2,36,20,-1,0,67,1066,1,613,1,83,809
"jixpqi",2,37,20,-1,1,83,1060,1,396,1,67,824
"jixpqi",2,38,20,1,1,83,931,1,1180,1,100,827
"jixpqi",2,39,20,1,0,67,1473,1,321,1,83,902
"jixpqi",2,40,20,1,1,83,1042,1,2147,1,83,773
"jixpqi",2,41,20,1,1,83,1127,1,1349,1,100,765
"jixpqi",2,42,20,-1,1,67,2290,1,469,1,67,538
"jixpqi",2,43,20,1,1,67,1432,1,384,1,83,831
"jixpqi",2,44,20,-1,1,83,877,1,885,1,100,648
"jixpqi",2,45,20,-1,1,67,900,1,389,1,83,328
"jixpqi",2,46,20,-1,1,83,923,1,318,1,100,401
"jixpqi",2,47,20,-1,1,83,538,1,745,1,83,762
"jixpqi",2,48,20,-1,1,83,570,1,282,1,100,332
"jixpqi",2,49,20,-1,0,67,1366,1,359,1,83,459
"jixpqi",2,50,20,-1,1,83,924,1,263,1,67,575
"jixpqi",3,51,5,-1,1,83,925,1,1113,1,100,343
"jixpqi",3,52,5,-1,1,67,515,1,270,1,83,591
"jixpqi",3,53,5,-1,1,83,747,1,439,1,83,813
"jixpqi",3,54,5,1,1,67,1087,1,352,1,67,749
"jixpqi",3,55,5,1,1,67,2084,1,1181,1,83,965
"jixpqi",3,56,5,-1,1,67,1057,1,595,1,83,532
"jixpqi",3,57,5,-1,1,67,995,1,568,1,83,268
"jixpqi",3,58,5,1,1,67,716,1,907,1,67,1447
"jixpqi",3,59,5,-1,1,67,1305,1,800,1,83,487
"jixpqi",3,60,5,1,1,67,939,1,1149,1,83,781
"jixpqi",3,61,5,-1,0,83,960,1,1443,1,67,1730
"jixpqi",3,62,5,-1,1,67,970,1,501,1,83,971
"jixpqi",3,63,5,1,0,67,1297,1,563,1,83,866
"jixpqi",3,64,5,1,1,67,1320,1,429,1,83,1297
"jixpqi",3,65,5,1,1,67,868,1,780,1,83,784
"jixpqi",3,66,5,1,1,83,1134,1,338,1,67,1144
"jixpqi",3,67,5,-1,1,83,1492,1,424,1,67,1230
"jixpqi",3,68,5,1,1,67,1540,1,366,1,83,1404
"jixpqi",3,69,5,-1,0,67,1381,1,361,1,83,1226
"jixpqi",3,70,5,-1,1,83,2090,1,769,1,67,1186
"jixpqi",3,71,5,-1,1,67,1514,1,406,1,83,597
"jixpqi",3,72,5,-1,1,83,1346,1,308,1,83,630
