"ID","AccStronger","MaxPoints","DotDiff"
"abginr",0.96,6000,2.93928571428571
"aboxsw",0.82,6860,2.91071428571428
"aekqzk",0.96,9130,3.6
"ahmfki",0.9,7075,2.67142857142857
"akurdg",0.96,8195,3.01428571428571
"albemo",0.98,8805,3.125
"ammrwo",0.72,7735,2.45714285714286
"angcso",0.94,7470,2.66428571428571
"aqikrl",0.94,7685,2.72142857142857
"asvmtk",0.82,7230,2.375
"atadpg",1,8300,3.30714285714286
"atndqp",0.96,8985,2.96071428571429
"augafv",0.96,7145,2.84642857142857
"auicuy",0.98,8525,3.09642857142857
"auossx",0.823529411764706,6965,2.72857142857143
"avllga",0.9,6370,2.65
"avsysn",0.92,7500,2.37857142857143
"avvojt",0.92,8280,3.06428571428571
"bdfixg",0.86,7625,2.87857142857143
"bgdumn",0.66,6850,2.09285714285714
"bjbvlv",0.96,8395,2.89642857142857
"bjxyas",0.9,8255,2.86785714285714
"btejha",1,8175,3.25
"btriuk",0.9,7585,3.26785714285714
"buattp",0.94,6900,2.79642857142857
"bvelca",0.86,7100,3.08928571428571
"byfxwj",0.96,8865,3.52142857142857
"byyccp",0.92,6485,2.76071428571428
"cfmyxg",0.86,7580,3.49642857142857
"cjdjqk",0.96,8280,3.00357142857143
"ckxobc",0.78,7590,2.3
"cnkwvz",0.9,6945,3.06428571428571
"ctfjzi",0.94,6900,2.93928571428571
"ctunbu",1,8305,3.26428571428571
"cvzskk",0.9,7895,2.83571428571429
"cwfril",0.92,7085,3.20714285714286
"cyfapl",0.98,8705,3.13571428571428
"cyytpx",0.84,6880,2.68928571428571
"czkwej",0.84,7490,2.7
"czrbyi",0.76,8050,2.39285714285714
"cztbfp",0.88,7480,2.68928571428571
"dbipzr",0.773584905660377,7275,2.23928571428571
"ddkubj",0.94,6815,2.82857142857143
"deuxgc",0.96,6175,3.11428571428571
"dfjytz",0.66,6775,2.53214285714286
"dgmbuv",1,8500,3.36428571428571
"dkjdtg",0.9,7555,2.39642857142857
"dlojos",0.9,8995,3.15357142857143
"dmcfaa",0.98,8100,3.39642857142857
"dmilke",0.92,8015,3.21785714285714
"dnjwrm",0.74,7290,2.46785714285714
"doxkws",0.94,8795,3.28214285714286
"dpbypm",0.84,6480,2.36785714285714
"dpugvc",0.92,8270,2.78571428571428
"dqzxqz",0.94,8315,3.30357142857143
"dsnkly",0.9,7340,2.97142857142857
"dtgeiu",0.9,7950,2.83214285714286
"dujbjm",0.82,6790,2.475
"dxlazu",0.901960784313726,7875,2.84285714285714
"dynaku",0.92,7720,2.55357142857143
"dyooft",0.94,8665,3.07142857142857
"dzshew",0.92,8710,2.8
"eanonx",0.68,7530,2.21071428571428
"ebljup",0.92,7415,3.47142857142857
"eebzpd",0.96,8960,3.05
"efpoli",0.96,8525,3.16071428571429
"egwsbn",0.98,8205,3.03928571428571
"elkjmj",0.9,8530,2.93571428571428
"ellvss",0.92,8345,2.68214285714285
"eqoewu",0.92,8445,3.40357142857143
"esqflm",0.9,7785,2.82142857142857
"eyfpac",1,9090,3.23928571428571
"eynyzb",0.94,7640,3.11071428571428
"eyqhub",0.88,7495,3.20714285714286
"fcpdxx",0.86,7680,2.63214285714286
"fcvhfj",0.92,6805,3.01785714285714
"fecscw",1,8835,3.11785714285714
"feghua",0.98,8560,3.29285714285714
"fenvhz",0.96,8465,3.23214285714285
"ffuzlq",0.583333333333333,5990,2.09285714285714
"fhhbde",0.9,8095,2.69285714285714
"flkgwb",0.92,8685,3.00714285714286
"frgggq",0.9,7075,2.84285714285714
"frzlti",0.826923076923077,6975,2.80357142857143
"fviitc",0.86,8135,2.64642857142857
"fxwsbo",0.92,8755,3.63571428571428
"fyzauu",0.86,7705,2.55
"gdbpbi",0.66,7700,2.84285714285714
"gfdbje",0.92,9110,3.06785714285714
"ggnqys",0.82,7930,2.525
"gjgiel",0.8,6950,2.9
"gjtdnq",0.9,5270,2.84285714285714
"glhwwp",0.96,6480,3.01071428571429
"gllzes",0.96,8760,3.08214285714286
"gmbkiw",0.94,7545,2.83571428571428
"gmxrhy",0.9,7810,2.825
"goxuod",0.96,7975,3.07142857142857
"gplujc",0.9,7485,2.73928571428571
"gqhgmb",0.98,6965,2.83571428571428
"gqxhoh",1,8185,3.42142857142857
"gvqihj",0.9,7790,3.06428571428571
"gyjxpg",0.98,8560,3.05714285714286
"hcvxup",0.959183673469388,8625,3.83571428571429
"hcymtv",0.96,6555,3.06071428571429
"hdwuou",0.9,8505,3.11785714285714
"hglblk",0.82,7500,2.73214285714286
"hhxwqj",0.84,6800,2.68214285714286
"hmryhu",0.98,8555,3.58214285714286
"hnzvex",1,8670,3.31071428571428
"hokhfk",0.94,6380,2.43571428571428
"hqctox",0.96,7020,3.025
"hsrfoy",0.82,8845,2.91428571428571
"httgwu",0.92,6910,2.65714285714286
"hzzaku",0.88,7875,3.00714285714286
"hzzfod",0.94,6940,3.05357142857143
"ibkpyh",0.9,6670,2.96428571428571
"ibkwao",0.92,6830,2.975
"ifmmwr",0.72,7700,2.51071428571428
"igyzff",0.92,8125,2.55357142857143
"ihcdcg",0.96,7755,2.725
"ijarwt",0.84,7560,2.225
"iklsnk",0.9,8575,3.45357142857143
"iloysj",0.96,8900,3.35714285714286
"inhaoh",0.92,6870,3.37142857142857
"iofhcq",0.98,5830,2.58214285714285
"ioslgp",0.92,8405,2.92142857142857
"iouylw",0.96,8000,2.73214285714286
"iqclbo",0.596153846153846,6910,1.92142857142857
"isbnop",0.8,7160,2.29285714285714
"ixsmws",0.84,7945,3.20714285714286
"ixvtqf",0.92,7145,2.18214285714285
"jacczd",0.96,8385,3.01071428571429
"jcuxyo",1,8580,3.25357142857143
"jezfis",0.94,7060,2.71785714285714
"jgcsqj",0.92,7835,2.54285714285714
"jgdskx",0.94,8720,3.48214285714286
"jiqfny",0.98,8235,2.79642857142857
"jkptjy",0.9,8985,3.15714285714286
"jlfixn",0.94,7700,2.99285714285714
"jopdlo",0.82,6320,2.61785714285714
"joyfft",0.9,7900,2.92857142857143
"jrtisq",1,7795,3
"jtxjuq",0.92,8165,3.04642857142857
"jtygsi",0.9,6640,2.71428571428571
"jukxbe",0.94,6680,3.09285714285714
"juupje",0.88,8070,2.66785714285714
"jvkjna",0.98,7970,3.4
"jwqspm",0.76,7300,3.17857142857143
"kbzpof",0.86,7080,2.77857142857143
"kcfyur",0.98,8270,3
"kcvwdy",0.98,8880,3.38571428571428
"kfudwt",0.98,9115,3.62142857142857
"kgwbhk",0.92,7080,3.15
"kgxmtq",0.82,7080,2.50357142857143
"kixjzf",0.92,7050,2.68571428571428
"kjflkk",0.82,8540,2.89642857142857
"kjkazt",0.96,7135,2.91785714285714
"kkqlca",0.68,6820,2.37857142857143
"kmrbnx",0.88,6960,2.42857142857143
"kmzquz",1,6815,3.17142857142857
"kprqar",0.78,7000,2.34642857142857
"krxwne",0.96,7330,3.38214285714286
"ktpttj",0.94,6095,2.72857142857143
"ktxpbs",1,9055,3.43214285714286
"kufzqi",0.86,6870,2.69285714285714
"kxkdyb",0.94,8600,2.82142857142857
"lavesl",0.98,8340,3.15357142857143
"lbjoyk",0.68,6455,2.18214285714286
"lelagn",1,8795,3.15
"leqwab",0.94,9225,3.225
"lhlkvz",0.88,6800,2.92142857142857
"ljolbg",0.88,8975,3.08571428571429
"lkplix",0.94,8720,3.23928571428571
"lkxpgl",0.92,9135,3.32857142857143
"lngbfe",0.84,7140,2.39285714285714
"lngbmu",0.9,7290,2.58214285714286
"lnzwwx",0.96,8455,3.27857142857143
"lqltox",0.86,8515,3.63214285714286
"lrfzrf",0.96,8830,3.38571428571428
"lrkrws",0.9,9005,3.59642857142857
